"","Package","Version","Priority"
"BiocManager","BiocManager","1.30.22",NA
"fabricatr","fabricatr","1.0.2",NA
"gitcreds","gitcreds","0.1.2",NA
"manytestsr","manytestsr","0.0.1.0001",NA
"nvimcom","nvimcom","0.9-163",NA
"BiocManager","BiocManager","1.30.22",NA
"Ckmeans.1d.dp","Ckmeans.1d.dp","4.3.5",NA
"ClusterR","ClusterR","1.3.2",NA
"DBI","DBI","1.2.2",NA
"Formula","Formula","1.2-5",NA
"IRdisplay","IRdisplay","1.1",NA
"IRkernel","IRkernel","1.3.2",NA
"KernSmooth","KernSmooth","2.23-22","recommended"
"MASS","MASS","7.3-60","recommended"
"Matrix","Matrix","1.6-5","recommended"
"ModelMetrics","ModelMetrics","1.2.2.2",NA
"R6","R6","2.5.1",NA
"RColorBrewer","RColorBrewer","1.1-3",NA
"Rcpp","Rcpp","1.0.12",NA
"RcppArmadillo","RcppArmadillo","0.12.8.1.0",NA
"RcppDist","RcppDist","0.1.1",NA
"RcppEigen","RcppEigen","0.3.4.0.0",NA
"RcppGSL","RcppGSL","0.3.13",NA
"RcppParallel","RcppParallel","5.1.7",NA
"RcppProgress","RcppProgress","0.4.2",NA
"RcppZiggurat","RcppZiggurat","0.1.6",NA
"Rdpack","Rdpack","2.6",NA
"Rfast","Rfast","2.1.0",NA
"Rmpi","Rmpi","0.7-2",NA
"SQUAREM","SQUAREM","2021.1",NA
"TH.data","TH.data","1.1-2",NA
"TTR","TTR","0.24.4",NA
"askpass","askpass","1.2.0",NA
"assertthat","assertthat","0.2.1",NA
"backports","backports","1.4.1",NA
"base","base","4.3.3","base"
"base64enc","base64enc","0.1-3",NA
"bench","bench","1.1.3",NA
"bit","bit","4.0.5",NA
"bit64","bit64","4.0.5",NA
"blob","blob","1.2.4",NA
"boot","boot","1.3-30","recommended"
"brew","brew","1.0-10",NA
"brio","brio","1.1.4",NA
"broom","broom","1.0.5",NA
"bslib","bslib","0.6.1",NA
"cachem","cachem","1.0.8",NA
"callr","callr","3.7.5",NA
"caret","caret","6.0-94",NA
"cellranger","cellranger","1.1.0",NA
"class","class","7.3-22","recommended"
"cli","cli","3.6.2",NA
"clipr","clipr","0.8.0",NA
"clock","clock","0.7.0",NA
"cluster","cluster","2.1.6","recommended"
"codetools","codetools","0.2-19","recommended"
"coin","coin","1.4-3",NA
"colorspace","colorspace","2.1-0",NA
"commonmark","commonmark","1.9.1",NA
"compiler","compiler","4.3.3","base"
"conflicted","conflicted","1.2.0",NA
"cpp11","cpp11","0.4.7",NA
"crayon","crayon","1.5.2",NA
"credentials","credentials","2.0.1",NA
"crul","crul","1.4.0",NA
"curl","curl","5.1.0",NA
"data.table","data.table","1.15.2",NA
"dataPreparation","dataPreparation","1.1.1",NA
"datasets","datasets","4.3.3","base"
"dbplyr","dbplyr","2.4.0",NA
"desc","desc","1.4.3",NA
"devtools","devtools","2.4.5",NA
"diagram","diagram","1.6.5",NA
"diffobj","diffobj","0.3.5",NA
"digest","digest","0.6.35",NA
"downlit","downlit","0.4.3",NA
"dplyr","dplyr","1.1.4",NA
"dtplyr","dtplyr","1.3.1",NA
"e1071","e1071","1.7-14",NA
"ellipsis","ellipsis","0.3.2",NA
"estimatr","estimatr","1.0.2",NA
"evaluate","evaluate","0.23",NA
"fansi","fansi","1.0.6",NA
"farver","farver","2.1.1",NA
"fastmap","fastmap","1.1.1",NA
"fontawesome","fontawesome","0.5.2",NA
"forcats","forcats","1.0.0",NA
"foreach","foreach","1.5.2",NA
"foreign","foreign","0.8-86","recommended"
"formatR","formatR","1.14",NA
"fs","fs","1.6.3",NA
"future","future","1.33.1",NA
"future.apply","future.apply","1.11.1",NA
"gargle","gargle","1.5.2",NA
"gbRd","gbRd","0.4-11",NA
"generics","generics","0.1.3",NA
"gert","gert","2.0.1",NA
"ggforce","ggforce","0.4.2",NA
"ggplot2","ggplot2","3.5.0",NA
"ggraph","ggraph","2.2.1",NA
"ggrepel","ggrepel","0.9.5",NA
"gh","gh","1.4.0",NA
"gistr","gistr","0.9.0",NA
"gitcreds","gitcreds","0.1.2",NA
"glmnet","glmnet","4.1-8",NA
"globals","globals","0.16.3",NA
"glue","glue","1.7.0",NA
"gmp","gmp","0.7-4",NA
"googledrive","googledrive","2.1.1",NA
"googlesheets4","googlesheets4","1.1.1",NA
"gower","gower","1.0.1",NA
"grDevices","grDevices","4.3.3","base"
"graphics","graphics","4.3.3","base"
"graphlayouts","graphlayouts","1.1.1",NA
"grid","grid","4.3.3","base"
"gridExtra","gridExtra","2.3",NA
"gtable","gtable","0.3.4",NA
"hardhat","hardhat","1.3.1",NA
"haven","haven","2.5.4",NA
"here","here","1.0.1",NA
"hexbin","hexbin","1.28.3",NA
"highr","highr","0.10",NA
"hms","hms","1.1.3",NA
"htmltools","htmltools","0.5.7",NA
"htmlwidgets","htmlwidgets","1.6.4",NA
"httpcode","httpcode","0.3.0",NA
"httpuv","httpuv","1.6.14",NA
"httr","httr","1.4.7",NA
"httr2","httr2","1.0.0",NA
"ids","ids","1.0.1",NA
"igraph","igraph","2.0.3",NA
"ini","ini","0.3.1",NA
"ipred","ipred","0.9-14",NA
"isoband","isoband","0.2.7",NA
"iterators","iterators","1.0.14",NA
"jquerylib","jquerylib","0.1.4",NA
"jsonlite","jsonlite","1.8.8",NA
"knitr","knitr","1.45",NA
"labeling","labeling","0.4.3",NA
"later","later","1.3.2",NA
"lattice","lattice","0.22-5","recommended"
"lava","lava","1.7.3",NA
"lazyeval","lazyeval","0.2.2",NA
"libcoin","libcoin","1.0-10",NA
"lifecycle","lifecycle","1.0.4",NA
"listenv","listenv","0.9.1",NA
"lobstr","lobstr","1.1.2",NA
"lubridate","lubridate","1.9.3",NA
"magrittr","magrittr","2.0.3",NA
"maps","maps","3.4.2",NA
"matrixStats","matrixStats","1.2.0",NA
"memoise","memoise","2.0.1",NA
"methods","methods","4.3.3","base"
"mgcv","mgcv","1.9-1","recommended"
"mime","mime","0.12",NA
"miniUI","miniUI","0.1.1.1",NA
"modelr","modelr","0.1.11",NA
"modeltools","modeltools","0.2-23",NA
"multcomp","multcomp","1.4-25",NA
"munsell","munsell","0.5.0",NA
"mvtnorm","mvtnorm","1.2-4",NA
"nlme","nlme","3.1-164","recommended"
"nnet","nnet","7.3-19","recommended"
"numDeriv","numDeriv","2016.8-1.1",NA
"onlineFDR","onlineFDR","2.7.1",NA
"openssl","openssl","2.1.1",NA
"pROC","pROC","1.18.5",NA
"parallel","parallel","4.3.3","base"
"parallelly","parallelly","1.37.1",NA
"pbdZMQ","pbdZMQ","0.3-11",NA
"pillar","pillar","1.9.0",NA
"pkgbuild","pkgbuild","1.4.4",NA
"pkgconfig","pkgconfig","2.0.3",NA
"pkgdown","pkgdown","2.0.7",NA
"pkgload","pkgload","1.3.4",NA
"plyr","plyr","1.8.9",NA
"polyclip","polyclip","1.10-6",NA
"praise","praise","1.0.0",NA
"prettyunits","prettyunits","1.2.0",NA
"processx","processx","3.8.4",NA
"prodlim","prodlim","2023.08.28",NA
"profmem","profmem","0.6.0",NA
"profvis","profvis","0.3.8",NA
"progress","progress","1.2.3",NA
"progressr","progressr","0.14.0",NA
"promises","promises","1.2.1",NA
"proxy","proxy","0.4-27",NA
"pryr","pryr","0.1.6",NA
"ps","ps","1.7.6",NA
"purrr","purrr","1.0.2",NA
"quantmod","quantmod","0.4.26",NA
"ragg","ragg","1.3.0",NA
"randomForest","randomForest","4.7-1.1",NA
"randomizr","randomizr","1.0.0",NA
"rappdirs","rappdirs","0.3.3",NA
"rbibutils","rbibutils","2.2.16",NA
"rbokeh","rbokeh","0.5.2",NA
"rcmdcheck","rcmdcheck","1.4.0",NA
"readr","readr","2.1.5",NA
"readxl","readxl","1.4.3",NA
"recipes","recipes","1.0.10",NA
"rematch","rematch","2.0.0",NA
"rematch2","rematch2","2.1.2",NA
"remotes","remotes","2.5.0",NA
"renv","renv","1.0.5",NA
"repr","repr","1.1.6",NA
"reprex","reprex","2.1.0",NA
"reshape2","reshape2","1.4.4",NA
"rlang","rlang","1.1.3",NA
"rmarkdown","rmarkdown","2.26",NA
"roxygen2","roxygen2","7.3.1",NA
"rpart","rpart","4.1.23","recommended"
"rprojroot","rprojroot","2.0.4",NA
"rstudioapi","rstudioapi","0.15.0",NA
"rversions","rversions","2.1.2",NA
"rvest","rvest","1.0.4",NA
"sandwich","sandwich","3.1-0",NA
"sass","sass","0.4.9",NA
"scales","scales","1.3.0",NA
"selectr","selectr","0.4-2",NA
"sessioninfo","sessioninfo","1.2.2",NA
"shape","shape","1.4.6.1",NA
"shiny","shiny","1.8.0",NA
"snow","snow","0.4-4",NA
"sourcetools","sourcetools","0.1.7-1",NA
"spatial","spatial","7.3-17","recommended"
"splines","splines","4.3.3","base"
"stats","stats","4.3.3","base"
"stats4","stats4","4.3.3","base"
"stringi","stringi","1.8.3",NA
"stringr","stringr","1.5.1",NA
"survival","survival","3.5-8","recommended"
"sys","sys","3.4.2",NA
"systemfonts","systemfonts","1.0.6",NA
"tcltk","tcltk","4.3.3","base"
"testthat","testthat","3.2.1",NA
"textshaping","textshaping","0.3.7",NA
"tibble","tibble","3.2.1",NA
"tidygraph","tidygraph","1.3.1",NA
"tidyr","tidyr","1.3.1",NA
"tidyselect","tidyselect","1.2.1",NA
"tidyverse","tidyverse","2.0.0",NA
"timeDate","timeDate","4032.109",NA
"timechange","timechange","0.3.0",NA
"tinytex","tinytex","0.50",NA
"tools","tools","4.3.3","base"
"triebeard","triebeard","0.4.1",NA
"tweenr","tweenr","2.0.3",NA
"tzdb","tzdb","0.4.0",NA
"urlchecker","urlchecker","1.0.1",NA
"urltools","urltools","1.7.3",NA
"usethis","usethis","2.2.3",NA
"utf8","utf8","1.2.4",NA
"utils","utils","4.3.3","base"
"uuid","uuid","1.2-0",NA
"vctrs","vctrs","0.6.5",NA
"viridis","viridis","0.6.5",NA
"viridisLite","viridisLite","0.4.2",NA
"vroom","vroom","1.6.5",NA
"waldo","waldo","0.5.2",NA
"whisker","whisker","0.4.1",NA
"withr","withr","3.0.0",NA
"xfun","xfun","0.42",NA
"xml2","xml2","1.3.6",NA
"xopen","xopen","1.0.0",NA
"xtable","xtable","1.8-4",NA
"xts","xts","0.13.2",NA
"yaml","yaml","2.3.8",NA
"zip","zip","2.3.1",NA
"zoo","zoo","1.8-12",NA
